,sna,tot,sbi,sarea,mday,ar,bemp,act
949,YouBike2.0_南京東路五段59巷口,11,1,松山區,2023-05-27 15:18:15,南京東路五段57號(前),10,1
950,YouBike2.0_三民公園(塔悠路),20,0,松山區,2023-05-27 13:55:12,塔悠路/撫遠街261巷(西側),20,1
952,YouBike2.0_西松公園,11,2,松山區,2023-05-27 14:50:22,健康路/南京東路五段251巷50弄(西側),8,1
953,YouBike2.0_長壽公園,15,4,松山區,2023-05-27 15:15:15,健康路174號(旁),11,1
954,YouBike2.0_復源公園,14,2,松山區,2023-05-27 15:19:14,八德路三段106巷62號(對面),10,1
957,YouBike2.0_西松高中(健康路325巷),31,0,松山區,2023-05-27 14:42:04,健康路325巷 / 健康路325巷12弄口(東北側),31,1
958,YouBike2.0_南京東興路口,20,5,松山區,2023-05-27 15:18:15,南京東路五段 / 東興路口(北側),15,1
960,YouBike2.0_介壽國中,12,0,松山區,2023-05-27 14:49:04,民生東路五段36巷/光復北路165巷,11,1
962,YouBike2.0_敦化八德路口,20,5,松山區,2023-05-27 15:18:15,敦化南路一段/八德路二段(西南側),15,1
963,YouBike2.0_新東街51巷口,23,3,松山區,2023-05-27 15:08:14,三民路 / 新東街51巷口(東側),20,1
964,YouBike2.0_八德立體停車場,16,0,松山區,2023-05-27 14:56:04,八德路/松信路(西南側),16,1
966,YouBike2.0_八德路四段652巷口,20,3,松山區,2023-05-27 15:02:14,八德路四段650號南側,17,1
967,YouBike2.0_捷運松山站(1號出口),15,0,松山區,2023-05-27 15:15:05,八德路四段711號前,13,1
968,YouBike2.0_捷運小巨蛋站(3號出口),15,1,松山區,2023-05-27 15:09:15,南京東路四段12號前,14,1
970,YouBike2.0_敦化北路155巷口,30,0,松山區,2023-05-27 14:43:04,敦化北路151號前分隔島,30,1
971,YouBike2.0_民生復興路口,17,5,松山區,2023-05-27 15:09:15,民生東路三段/復興北路(東南側),12,1
972,YouBike2.0_市民延吉街口,30,1,松山區,2023-05-27 15:14:14,市民大道/延吉街(市民大道橋下空地),27,1
973,YouBike2.0_龍城市場,15,5,松山區,2023-05-27 15:18:15,光復北路190巷35號對側,9,1
976,YouBike2.0_五常街370巷,11,3,松山區,2023-05-27 15:01:54,五常街370巷8號,8,1
978,YouBike2.0_南港公園(福德街),32,1,南港區,2023-05-27 15:10:22,福德街383號北側,31,1
980,YouBike2.0_忠孝東路六段225巷口,35,3,南港區,2023-05-27 15:12:15,忠孝東路六段219號,32,1
982,YouBike2.0_合樂公園,15,2,南港區,2023-05-27 15:14:14,玉成街46號東側,13,1
983,YouBike2.0_合心廣場,38,4,南港區,2023-05-27 15:13:15,忠孝東路六段17號東北側,34,1
984,YouBike2.0_成德國中,26,0,南港區,2023-05-27 15:17:22,東新街118巷15號南側,25,1
985,YouBike2.0_玉成公園,26,4,南港區,2023-05-27 15:13:15,玉成街247號對側,22,1
988,YouBike2.0_國家生技園區,30,2,南港區,2023-05-27 14:46:16,研究院路一段130巷99號(國家生技園區),27,1
990,YouBike2.0_中研公園,40,0,南港區,2023-05-27 14:40:12,研究院路二段12巷58弄9號西側,40,1
993,YouBike2.0_凌雲市場,20,0,南港區,2023-05-27 13:56:04,研究院路三段68巷9號北側,20,1
